Provinsi,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,67.09,67.45,67.81,68.3,68.81,69.45,70,70.6
SUMATERA UTARA,67.09,67.34,67.74,68.36,68.87,69.51,70,70.57
SUMATERA BARAT,67.25,67.81,68.36,68.91,69.36,69.98,70.73,71.24
RIAU,68.65,68.9,69.15,69.91,70.33,70.84,71.2,71.79
JAMBI,65.39,66.14,66.94,67.76,68.24,68.89,69.62,69.99
SUMATERA SELATAN,64.44,65.12,65.79,66.16,66.75,67.46,68.24,68.86
BENGKULU,65.35,65.96,66.61,67.5,68.06,68.59,69.33,69.95
LAMPUNG,63.71,64.2,64.87,65.73,66.42,66.95,67.65,68.25
KEP. BANGKA BELITUNG,66.02,66.59,67.21,67.92,68.27,69.05,69.55,69.99
KEP. RIAU,71.13,71.61,72.36,73.02,73.4,73.75,73.99,74.45
DKI JAKARTA,76.31,76.98,77.53,78.08,78.39,78.99,79.6,80.06
JAWA BARAT,66.15,66.67,67.32,68.25,68.8,69.5,70.05,70.69
JAWA TENGAH,66.08,66.64,67.21,68.02,68.78,69.49,69.98,70.52
YOGYAKARTA,75.37,75.93,76.15,76.44,76.81,77.59,78.38,78.89
JAWA TIMUR,65.36,66.06,66.74,67.55,68.14,68.95,69.74,70.27
BANTEN,67.54,68.22,68.92,69.47,69.89,70.27,70.96,71.42
BALI,70.1,70.87,71.62,72.09,72.48,73.27,73.65,74.3
NUSA TENGGARA BARAT,61.16,62.14,62.98,63.76,64.31,65.19,65.81,66.58
NUSA TENGGARA TIMUR,59.21,60.24,60.81,61.68,62.26,62.67,63.13,63.73
KALIMANTAN BARAT,61.97,62.35,63.41,64.3,64.89,65.59,65.88,66.26
KALIMANTAN TENGAH,65.96,66.38,66.66,67.41,67.77,68.53,69.13,69.79
KALIMANTAN SELATAN,65.2,65.89,66.68,67.17,67.63,68.38,69.05,69.65
KALIMANTAN TIMUR,71.31,72.02,72.62,73.21,73.82,74.17,74.59,75.12
KALIMANTAN UTARA,-,-,-,67.99,68.64,68.76,69.2,69.84
SULAWESI UTARA,67.83,68.31,69.04,69.49,69.96,70.39,71.05,71.66
SULAWESI TENGAH,63.29,64.27,65,65.79,66.43,66.76,67.47,68.11
SULAWESI SELATAN,66,66.65,67.26,67.92,68.49,69.15,69.76,70.34
SULAWESI TENGGARA,65.99,66.52,67.07,67.55,68.07,68.75,69.31,69.86
GORONTALO,62.65,63.48,64.16,64.7,65.17,65.86,66.29,67.01
SULAWESI BARAT,59.74,60.63,61.01,61.53,62.24,62.96,63.6,64.3
MALUKU,64.27,64.75,65.43,66.09,66.74,67.05,67.6,68.19
MALUKU UTARA,62.79,63.19,63.93,64.78,65.18,65.91,66.63,67.2
PAPUA BARAT,59.6,59.9,60.3,60.91,61.28,61.73,62.21,62.99
PAPUA,54.45,55.01,55.55,56.25,56.75,57.25,58.05,59.09